"Date";"Time";"Programme";"MLCourse";"IRCourse";"StatCourse";"DBCourse";"Gender";"Chocolate";"Birthdate";"Neighbours";"Stresslevel";"Reward";"RandomNo";"Bedtime";"Goodday1";"Goodday2";"gd1";"gd2";"finalgd"
2021-03-30;10H 37M 5S;"CS";1;1;1;1;1;1;1998;0;30;10;2;0;"Sleeping well";"Having a walk with my dog";"Resting";"Goals";"Resting"
2021-03-30;10H 39M 11S;"FIN";1;1;1;0;1;1;1995;1;15;10;14;23;"Sun";"Beer";"Weather";"F&B";"Weather"
2021-03-30;10H 45M 18S;"BIO";1;0;NA;0;-1;4;1994;4;20;20;8;23;"if the sun is shinning";"Something adventurous took place";"Weather";"Other";"Weather"
2021-03-30;10H 49M 39S;"BUS";1;1;1;1;1;1;1995;0;40;5;2;23;"Good stock returns";"Getting high grades back";"Other";"Goals";"Goals"
2021-03-30;10H 49M 50S;"BUS";1;1;1;1;1;1;1998;0;10;3;4;22;"Zoom meeting";"Teams meeting";"Goals";"Social";"Goals"
2021-03-30;10H 53M 15S;"BUS";1;NA;1;1;1;3;1997;0;60;100;3;21;"Good weather";"Exercise";"Weather";"Exercise";"Weather"
2021-03-30;10H 53M 49S;"Other";0;0;1;1;-1;1;1997;1;40;100;3;23;"drinking cola zero";"sunny weather";"F&B";"Weather";"F&B"
2021-03-30;10H 55M 13S;"AI";0;0;1;0;1;3;1996;0;70;5;5;0;"Sun outside and no wind";"Playing basketball";"Weather";"Other";"Weather"
2021-03-30;10H 55M 42S;"AI";0;0;1;0;-1;3;1996;0;50;20;2;23;"The sun";"Friends";"Weather";"Social";"Weather"
2021-03-30;10H 55M 44S;"CS";0;0;1;0;1;1;1996;0;50;100;9;1;"pizza";"sleeping in";"Other";"Resting";"Resting"
2021-03-30;10H 58M 12S;"AI";1;0;1;0;-1;3;1995;0;30;12;11;21;"Sun";"Good sleep";"Weather";"Resting";"Weather"
2021-03-30;10H 58M 32S;"ECO";1;0;1;1;-1;2;1996;1;70;20;7;22;"When the sun is shining";"Good night sleep";"Weather";"Resting";"Weather"
2021-03-30;11H 3M 33S;"CS";1;1;1;1;1;5;1999;3;32;99,99;4,554164846;23;"A nice suprise";"A feeling of contentness";"Other";"Other";"Other"
2021-03-30;11H 8M 0S;"AI";1;0;1;1;-1;3;1996;1;40;70;3;23;"when it's sunny";"when I can enjoy nature";"Weather";"Other";"Weather"
2021-03-30;11H 9M 42S;"BUS";0;0;1;0;1;1;1998;3;10;10;8;22;"Tasteful food";"Good weather";"F&B";"Weather";"F&B"
2021-03-30;11H 10M 49S;"AI";1;0;1;0;1;1;1996;1;80;10;8;1;"Sun";"Beauty";"Weather";"Other";"Weather"
2021-03-30;11H 11M 47S;"AI";0;0;1;1;-1;5;1996;1;20;10;5;23;"Sun";"Smile";"Weather";"Other";"Weather"
2021-03-30;11H 28M 20S;"AI";0;0;1;0;-1;3;1996;1;0;70;5;23;"fun";"sun";"Other";"Weather";"Weather"
2021-03-30;11H 30M 10S;"Other";1;1;1;0;-1;3;1997;0;30;25;7;23;"sunshine";"love";"Weather";"Other";"Weather"
2021-03-30;11H 30M 34S;"BUS";1;1;1;1;1;1;1999;0;80;10;7;23;"Doing well on study";"Feyenoord winning a game";"Goals";"Goals";"Goals"
2021-03-30;11H 31M 11S;"BIO";1;0;0;0;-1;4;1997;1;0;100;8;0;"Sun";"My dog";"Weather";"Goals";"Weather"
2021-03-30;11H 36M 30S;"CS";0;0;1;NA;1;3;1999;0;20;1;7;23;"Friends";"Sport";"Social";"Exercise";"Social"
2021-03-30;11H 40M 4S;"FIN";1;0;1;0;-1;1;1996;2;70;0;6;23;"sun";"free time";"Weather";"Resting";"Weather"
2021-03-30;11H 41M 42S;"AI";1;1;1;0;1;4;1999;4;10;60;2;0;"good night sleep";"things to do";"Resting";"Goals";"Resting"
2021-03-30;11H 49M 20S;"CS";0;1;1;0;1;1;1996;0;70;80;7;2;"Good weather";"Good news";"Weather";"Other";"Weather"
2021-03-30;11H 52M 45S;"AI";0;1;1;1;1;1;1995;0;30;5;7;1;"productivity";"food";"Other";"F&B";"F&B"
2021-03-30;11H 54M 4S;"AI";0;1;0;0;-1;1;1997;0;50;5;8;23;"When I see my friends";"Delicious food";"Social";"F&B";"Social"
2021-03-30;11H 54M 41S;"AI";1;0;1;1;-1;3;1993;3;10;20;8;1;"coffee";"sunny weather";"F&B";"Weather";"F&B"
2021-03-30;11H 57M 6S;"ECO";0;NA;1;1;1;5;1996;2;80;100;35;1;"Progress";"Happiness";"Other";"Other";"Other"
2021-03-30;11H 58M 45S;"ECO";0;0;1;1;1;5;1993;0;25;100;92;0;"Friends";"Fulfillment";"Social";"Other";"Social"
2021-03-30;12H 5M 21S;"AI";0;1;NA;1;1;3;1998;0;80;50;69;23;"Finishing a lot of work";"Playing video games with friends";"Goals";"Social";"Goals"
2021-03-30;12H 15M 56S;"AI";0;1;1;0;1;2;1996;0;20;0;46;0;"sun";"soccer";"Weather";"Exercise";"Weather"
2021-03-30;12H 17M 26S;"AI";1;1;1;1;1;1;1996;0;20;50;7;1;"The sun";"Being together with friends";"Weather";"Goals";"Weather"
